disease,home_remedy_1,home_remedy_2,home_remedy_3,home_remedy_4,home_remedy_5,effectiveness_rating,preparation_time_minutes,cost_level,safety_level
Iron Deficiency,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",,3.1,24,Very Low,Consult Doctor
Tension Headache,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,4.7,43,Very Low,Caution Required
Eczema,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",,,5.7,60,Moderate,Very Safe
Crohns Disease,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,3.4,49,Low,Consult Doctor
ADHD,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,6.7,52,Moderate,Safe
Vertigo,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",7.2,32,Moderate,Safe
Ear Infection,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,8.6,59,Very Low,Very Safe
Psoriasis,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,9.4,51,High,Very Safe
UTI,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",,4.1,30,Low,Safe
Gallstones,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,,4.2,19,Low,Caution Required
Laryngitis,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,6.9,37,Very Low,Caution Required
Cluster Headache,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,,7.1,46,Very Low,Safe
Glaucoma,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,4.1,16,Moderate,Safe
Prostate Cancer,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,,,8.5,42,Moderate,Safe
Hepatitis A,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,8.8,19,Low,Very Safe
Anxiety Disorder,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,9.0,56,Low,Safe
Alzheimers Disease,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,9.3,33,Low,Consult Doctor
Celiac Disease,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),,,6.9,23,High,Safe
Cluster Headache,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,,,7.0,40,Moderate,Consult Doctor
Sciatica,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",,,7.0,8,Moderate,Safe
Pneumonia,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,,3.9,19,Low,Consult Doctor
Schizophrenia,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),,,4.8,7,Very Low,Safe
Depression,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,,,7.4,31,Moderate,Consult Doctor
Laryngitis,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,,6.5,17,Very Low,Consult Doctor
Colon Cancer,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,6.9,27,Moderate,Caution Required
Lymphoma,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",,5.3,19,Low,Safe
Hypothyroidism,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,7.0,13,Very Low,Safe
Ulcerative Colitis,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,,6.4,9,Low,Safe
Endometriosis,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,,6.1,34,Moderate,Caution Required
Asthma,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,,,5.9,15,High,Caution Required
Skin Cancer,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,,9.2,59,High,Very Safe
Celiac Disease,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,,5.2,46,Moderate,Caution Required
Lymphoma,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,6.9,48,Low,Caution Required
Diabetes Type 2,"Consume chromium-rich foods: broccoli, whole grains, lean meats",Take 1 tbsp apple cider vinegar in water before meals,Practice 30 minutes yoga daily for insulin sensitivity,,,7.5,12,Moderate,Consult Doctor
Asthma,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,4.0,18,Very Low,Safe
Ulcerative Colitis,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,,3.3,21,High,Caution Required
Glaucoma,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,,7.4,35,Moderate,Very Safe
Hepatitis A,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,7.4,58,Low,Very Safe
Hypertension,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,4.1,10,Low,Consult Doctor
Hypertension,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,8.3,17,Moderate,Caution Required
Migraine,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",8.6,60,Low,Safe
Hepatitis B,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,7.1,43,Very Low,Caution Required
Hyperthyroidism,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,,3.2,27,Moderate,Consult Doctor
Tuberculosis,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,6.3,52,High,Very Safe
Deep Vein Thrombosis,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,8.1,27,Moderate,Safe
Anemia,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",,4.1,39,Moderate,Safe
Skin Cancer,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,9.2,25,Moderate,Consult Doctor
Prostate Cancer,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,,3.8,23,Moderate,Caution Required
Bronchitis,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,,4.0,24,Very Low,Very Safe
Typhoid,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,8.1,21,High,Consult Doctor
Skin Cancer,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,3.5,52,Moderate,Very Safe
Sleep Apnea,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,4.1,42,Low,Caution Required
Diabetes Type 1,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),,,5.0,6,Moderate,Safe
Panic Disorder,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,7.6,45,Low,Caution Required
Typhoid,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",,,4.9,56,Low,Safe
Fibromyalgia,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,3.8,33,Low,Very Safe
Lymphoma,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,3.7,36,Very Low,Very Safe
Measles,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,9.0,30,High,Very Safe
Schizophrenia,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,5.0,32,High,Safe
Anxiety Disorder,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,,6.9,21,Very Low,Consult Doctor
Epilepsy,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,7.8,25,Very Low,Consult Doctor
Lactose Intolerance,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,7.1,53,Very Low,Very Safe
Anxiety Disorder,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,7.4,25,Moderate,Safe
Pneumonia,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,8.4,13,High,Safe
Deep Vein Thrombosis,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,,3.1,21,High,Safe
Diabetes Type 2,Include fenugreek seeds (1 tsp soaked overnight) daily,Drink bitter melon juice (100ml) on empty stomach daily,Practice 30 minutes yoga daily for insulin sensitivity,Drink green tea without sugar 2-3 times daily,,7.0,13,Moderate,Very Safe
Dermatitis,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),,7.2,17,Moderate,Very Safe
Metabolic Syndrome,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),,4.5,57,High,Caution Required
Skin Cancer,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",,,5.8,14,High,Safe
Parkinsons Disease,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,,4.0,14,High,Very Safe
Typhoid,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,6.6,33,High,Consult Doctor
Asthma,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,6.6,17,Moderate,Safe
Food Poisoning,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,,3.2,21,Low,Very Safe
Appendicitis,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",,6.9,31,Very Low,Caution Required
Hypothyroidism,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,5.3,27,Moderate,Consult Doctor
Panic Disorder,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,6.4,12,Low,Caution Required
Multiple Sclerosis,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",,,7.1,36,Low,Caution Required
Common Cold,"Apply warm compress on sinuses for 10 minutes, 3 times daily",Take echinacea supplements (400mg twice daily),Drink bone broth rich in minerals and amino acids,Use saline nasal spray every 2-3 hours while awake,,5.6,49,Moderate,Consult Doctor
Bipolar Disorder,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,,3.0,24,Low,Very Safe
Anemia,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",,3.4,6,Low,Caution Required
Lactose Intolerance,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,,3.8,19,Very Low,Very Safe
Obesity,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,,7.7,56,Very Low,Very Safe
PTSD,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,3.6,11,High,Consult Doctor
Thyroid Disorder,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,,9.2,46,High,Caution Required
Cataracts,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,7.0,27,Low,Caution Required
Lactose Intolerance,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,,4.2,26,Very Low,Very Safe
Metabolic Syndrome,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,7.6,16,Low,Very Safe
Prostate Cancer,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,,5.7,43,Low,Caution Required
Osteoarthritis,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),8.8,55,Very Low,Consult Doctor
Flu,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,6.3,31,Low,Caution Required
Metabolic Syndrome,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,,3.4,27,Moderate,Safe
Bipolar Disorder,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",9.1,38,High,Safe
Leukemia,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,4.7,39,Very Low,Consult Doctor
Vertigo,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",,,6.3,25,Moderate,Caution Required
Appendicitis,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,8.6,36,Moderate,Safe
Panic Disorder,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,7.8,42,Low,Safe
Meniere Disease,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,,7.6,56,High,Very Safe
Diarrhea,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,9.1,21,High,Safe
Macular Degeneration,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,5.3,39,Low,Very Safe
Thyroid Disorder,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,7.7,47,Low,Safe
Tonsillitis,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,4.2,14,Moderate,Safe
Sciatica,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",,,8.1,44,Low,Very Safe
Anemia,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,,8.8,41,Moderate,Safe
Skin Cancer,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,7.1,24,Low,Caution Required
Skin Allergies,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,,4.1,5,High,Very Safe
Hemorrhoids,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,,3.6,19,Moderate,Very Safe
Leukemia,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",8.1,37,Moderate,Safe
Osteoarthritis,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,,7.9,6,Moderate,Very Safe
Gallstones,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,,5.2,39,Very Low,Safe
Tonsillitis,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,8.7,16,High,Very Safe
COVID-19,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",,,3.3,5,High,Very Safe
Epilepsy,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,3.9,33,Low,Very Safe
Mumps,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",,3.4,37,Very Low,Caution Required
Chronic Kidney Disease,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,7.0,39,Low,Consult Doctor
Asthma,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",4.9,26,Very Low,Very Safe
Panic Disorder,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,,,5.2,36,Low,Caution Required
Mumps,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,,,6.9,29,Moderate,Caution Required
Endometriosis,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",7.3,52,Low,Very Safe
Hyperthyroidism,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",,,7.7,53,Low,Safe
Lung Cancer,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",,,8.3,37,Moderate,Safe
Measles,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",,,9.4,8,Very Low,Very Safe
Cholecystitis,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,,,7.1,51,Very Low,Safe
Acid Reflux,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,5.4,23,High,Consult Doctor
Sinusitis,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,,3.2,17,High,Very Safe
Gallstones,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,5.9,23,High,Very Safe
Hypertension,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,9.1,37,High,Consult Doctor
