disease,total_risk_score,risk_category,primary_risk_factors,modifiable_factors,genetic_predisposition,environmental_risk,age_adjusted_risk,gender_adjusted_risk,prevention_potential,age_score,gender_score,bmi_score,smoking_status_score,alcohol_consumption_score,physical_activity_score,family_history_score,blood_pressure_score,cholesterol_level_score,blood_sugar_level_score,stress_level_score,sleep_quality_score,diet_quality_score,environmental_factors_score
Colon Cancer,5.8,Moderate,"Diet Quality, Blood Pressure, Age","Stress, Sleep",Unknown,Moderate,8.2,5.53,High,3.77,9.64,2.72,9.62,4.38,7.02,3.44,1.22,7.83,8.5,2.89,6.83,7.47,5.83
Thyroid Disorder,5.54,Moderate,"Sleep Quality, Physical Activity, Smoking Status","Sleep, Stress",Low,Low,7.35,6.68,Moderate,5.17,3.75,7.31,3.08,4.16,8.53,9.92,1.13,5.62,4.06,6.44,9.2,6.57,2.68
Multiple Sclerosis,5.91,Moderate,"Alcohol Consumption, Environmental Factors, Physical Activity","Sleep, Diet",Low,High,7.75,6.47,Low,6.64,9.24,9.41,1.83,8.21,2.07,7.73,8.09,3.16,1.87,6.71,4.78,7.8,5.22
Hemorrhoids,5.32,Moderate,"Blood Sugar Level, Diet Quality, Cholesterol Level","Stress, Exercise",Moderate,High,6.81,5.48,Moderate,1.52,5.12,7.91,5.75,4.38,4.84,8.07,2.61,4.7,8.15,1.99,9.38,6.33,3.75
Cluster Headache,6.68,High,"Gender, Diet Quality, Blood Pressure","Sleep, Stress",High,High,8.78,7.7,Moderate,9.85,9.68,8.1,8.58,4.76,7.26,2.33,2.1,7.33,4.4,7.7,9.63,5.47,6.32
Migraine,4.77,Moderate,"BMI, Sleep Quality, Alcohol Consumption","Diet, Exercise",High,Low,6.9,6.0,Low,3.71,5.09,3.08,1.05,9.89,4.53,3.55,2.18,9.18,3.61,3.78,8.98,3.51,4.67
Laryngitis,5.22,Moderate,"BMI, Age, Stress Level","Stress, Exercise",Unknown,Low,4.9,4.9,Low,7.71,1.56,8.73,5.38,4.39,6.48,2.17,2.28,7.07,6.75,7.58,5.5,2.84,4.58
Epilepsy,4.44,Moderate,"Age, Blood Sugar Level, BMI","Diet, Exercise",Low,Moderate,5.67,5.4,Low,7.81,2.75,2.07,1.41,4.08,6.89,7.69,1.87,6.35,2.99,2.38,3.13,6.65,6.12
Osteoarthritis,5.04,Moderate,"Sleep Quality, Stress Level, Age","Stress, Diet",Unknown,Low,7.03,6.05,High,1.47,1.54,4.16,4.29,3.49,8.58,7.15,6.99,4.53,1.49,7.95,7.63,5.06,6.19
Sciatica,6.98,High,"Family History, Smoking Status, BMI","Sleep, Exercise",High,Low,5.76,8.51,Moderate,7.32,5.72,9.23,1.09,9.24,2.78,6.0,6.51,4.92,8.79,9.28,9.58,8.27,9.03
Diabetes Type 2,5.39,Moderate,"Blood Pressure, Smoking Status, Stress Level","Diet, Sleep",Low,Low,7.21,6.3,High,3.73,3.75,1.82,5.04,6.17,9.3,2.15,4.22,1.42,6.36,7.33,9.05,9.01,6.09
Malaria,4.48,Moderate,"Gender, Blood Sugar Level, Cholesterol Level","Diet, Exercise",Low,Low,4.86,4.14,High,9.33,5.69,1.13,1.25,3.19,3.9,2.66,6.53,2.57,9.41,1.59,2.41,8.52,4.55
Osteoarthritis,5.6,Moderate,"Family History, Blood Pressure, Stress Level","Stress, Sleep",Unknown,High,5.47,6.68,Low,5.24,2.19,3.91,7.83,7.76,4.57,9.77,9.15,3.18,8.57,5.0,3.64,2.51,5.03
Metabolic Syndrome,6.25,Moderate,"BMI, Environmental Factors, Age","Diet, Smoking",Moderate,High,8.72,8.08,Moderate,6.74,8.14,7.93,3.12,6.38,6.86,6.58,5.64,7.53,6.26,8.42,8.43,2.29,3.15
Eczema,7.19,High,"Environmental Factors, Family History, Sleep Quality","Diet, Stress",Low,High,10.6,7.03,Low,8.21,4.95,4.0,9.78,8.67,7.63,4.83,9.74,4.22,6.23,9.44,8.75,6.78,7.48
Bipolar Disorder,6.39,Moderate,"Gender, Alcohol Consumption, Environmental Factors","Stress, Exercise",High,High,5.71,6.12,High,5.78,8.61,9.56,2.5,7.41,4.67,9.67,5.86,1.84,9.96,4.45,8.02,7.18,3.92
Gout,5.01,Moderate,"Stress Level, Smoking Status, Blood Sugar Level","Stress, Diet",Moderate,Moderate,5.58,6.13,Moderate,9.4,1.37,3.35,2.12,7.98,8.01,4.6,8.06,2.44,6.68,2.31,2.93,4.86,6.08
Sciatica,4.97,Moderate,"Age, Physical Activity, Blood Sugar Level","Exercise, Diet",Moderate,High,7.4,5.66,Moderate,7.88,3.0,5.09,3.97,2.98,9.11,2.97,1.9,9.62,4.15,8.03,4.84,2.19,3.8
Coronary Artery Disease,5.36,Moderate,"Alcohol Consumption, BMI, Blood Pressure","Stress, Exercise",Low,High,7.37,5.6,High,9.15,7.07,1.81,5.96,3.79,1.63,9.38,8.46,7.79,7.27,5.31,3.52,1.52,2.33
Lymphoma,5.23,Moderate,"Smoking Status, Alcohol Consumption, BMI","Sleep, Smoking",High,Moderate,5.77,6.73,High,9.6,2.89,9.4,6.58,2.69,2.43,1.82,9.29,9.02,2.83,5.67,4.03,1.34,5.62
Alzheimers Disease,5.97,Moderate,"Stress Level, Smoking Status, BMI","Smoking, Exercise",Moderate,High,6.15,6.22,Low,9.56,8.22,5.03,2.48,6.93,9.78,7.29,3.5,4.63,3.38,2.36,9.51,6.23,4.71
Salmonella,4.63,Moderate,"Age, Blood Sugar Level, Cholesterol Level","Diet, Smoking",High,Low,6.79,4.64,Moderate,3.37,1.17,3.88,9.93,1.41,4.3,4.69,9.48,7.9,3.73,1.29,4.73,2.6,6.35
Gallstones,4.33,Moderate,"Cholesterol Level, Gender, BMI","Smoking, Sleep",Unknown,High,5.47,4.44,High,5.28,4.06,4.35,1.58,1.62,2.39,1.75,3.29,8.17,8.02,4.5,2.29,9.51,3.8
Osteoarthritis,6.24,Moderate,"Blood Pressure, Physical Activity, Gender","Exercise, Diet",Moderate,Moderate,9.12,7.06,Low,5.79,5.35,4.66,8.33,2.71,7.49,6.6,3.45,6.84,5.04,6.75,8.9,6.65,8.84
Multiple Sclerosis,5.61,Moderate,"Diet Quality, Blood Pressure, Smoking Status","Exercise, Diet",Low,High,5.65,6.26,Moderate,3.76,7.11,5.05,9.89,7.25,3.87,5.66,6.71,3.87,8.1,1.14,5.2,3.02,7.97
Coronary Artery Disease,4.91,Moderate,"Stress Level, Blood Pressure, Sleep Quality","Sleep, Diet",Moderate,Low,4.15,5.19,Low,7.97,8.93,8.05,1.63,3.22,1.61,2.9,7.45,1.15,4.31,9.36,3.76,4.72,3.65
IBS,5.03,Moderate,"Environmental Factors, Blood Sugar Level, BMI","Stress, Smoking",Moderate,Moderate,5.64,5.36,High,6.32,2.15,2.47,6.22,4.17,6.98,3.73,3.15,8.46,2.43,3.76,4.25,8.66,7.74
Macular Degeneration,4.12,Moderate,"Age, BMI, Cholesterol Level","Exercise, Stress",Moderate,High,3.87,3.72,Low,1.47,6.33,1.05,2.77,9.95,3.68,9.09,1.06,1.02,1.83,4.65,4.18,4.43,6.23
Measles,6.52,High,"Blood Pressure, Sleep Quality, Cholesterol Level","Stress, Sleep",Moderate,High,9.69,7.11,Moderate,6.49,8.06,1.63,7.45,6.3,5.08,9.54,9.1,9.89,8.52,8.1,7.16,1.59,2.35
Multiple Sclerosis,6.11,Moderate,"Family History, Blood Sugar Level, Sleep Quality","Diet, Exercise",Moderate,Low,7.15,6.37,Moderate,4.95,1.27,8.29,4.17,9.7,9.77,3.73,4.84,3.77,4.57,9.32,4.27,8.44,8.42
Asthma,6.43,Moderate,"Smoking Status, Blood Sugar Level, Gender","Exercise, Stress",Moderate,High,7.99,7.56,High,5.05,2.5,5.17,6.88,3.57,9.94,8.39,6.37,6.67,9.48,8.2,8.61,5.36,3.8
ADHD,4.71,Moderate,"Cholesterol Level, Sleep Quality, Stress Level","Exercise, Stress",Moderate,Moderate,6.13,4.85,Moderate,9.12,4.17,4.79,9.11,4.72,2.37,1.02,1.02,2.54,6.05,3.01,6.92,2.08,9.01
Food Poisoning,5.46,Moderate,"BMI, Cholesterol Level, Family History","Exercise, Stress",High,High,8.0,6.54,High,4.08,7.54,3.69,3.67,8.97,9.1,1.65,4.41,1.57,9.53,4.44,4.85,8.45,4.52
Salmonella,5.75,Moderate,"Smoking Status, Environmental Factors, Age","Stress, Exercise",Moderate,High,4.96,6.79,Moderate,5.1,1.26,6.64,5.69,8.32,4.55,9.94,3.3,9.87,5.01,1.02,6.85,8.78,4.17
Psoriasis,5.48,Moderate,"Age, Cholesterol Level, Gender","Exercise, Smoking",Unknown,High,5.83,6.46,Moderate,2.66,4.56,1.85,8.6,8.96,3.0,1.83,9.63,3.81,5.67,5.59,3.59,8.33,8.59
Cataracts,5.61,Moderate,"Blood Sugar Level, Blood Pressure, BMI","Smoking, Diet",High,Low,5.78,5.73,High,6.26,3.49,4.55,5.17,3.49,9.63,6.41,7.59,8.51,7.3,2.84,2.86,7.64,2.74
Hernia,6.23,Moderate,"Gender, Blood Sugar Level, Smoking Status","Stress, Sleep",Low,High,8.09,7.14,Low,9.26,1.87,8.62,6.39,9.25,8.54,3.52,7.47,2.5,3.84,9.52,4.88,9.71,1.81
Constipation,5.36,Moderate,"BMI, Stress Level, Smoking Status","Stress, Sleep",Moderate,High,6.31,6.75,High,2.18,3.15,7.85,5.65,1.01,9.1,3.49,1.27,8.01,2.16,8.88,5.19,8.12,8.97
Crohns Disease,5.31,Moderate,"Family History, Physical Activity, Stress Level","Smoking, Stress",Low,Low,7.76,5.84,High,2.36,6.01,6.87,3.47,3.66,6.36,9.96,5.79,5.63,7.03,2.88,5.96,2.65,5.64
Sciatica,4.44,Moderate,"Age, Gender, BMI","Smoking, Sleep",High,High,6.17,4.93,Low,2.31,4.89,3.85,2.54,2.9,1.27,8.96,2.88,1.99,8.88,8.86,2.0,4.87,5.94
Diabetes Type 2,6.16,Moderate,"Blood Sugar Level, Environmental Factors, Alcohol Consumption","Sleep, Exercise",Unknown,Low,6.33,7.58,Moderate,5.63,8.29,8.46,1.63,7.1,8.37,2.96,8.19,9.58,7.65,4.77,3.48,7.3,2.8
Osteoporosis,5.27,Moderate,"Smoking Status, Sleep Quality, Alcohol Consumption","Sleep, Smoking",Unknown,Moderate,5.86,5.67,Moderate,3.17,9.2,8.62,2.49,1.17,7.93,6.85,4.61,4.88,5.13,2.94,6.05,2.77,8.02
Sinusitis,4.74,Moderate,"Family History, Smoking Status, Blood Pressure","Stress, Smoking",Moderate,High,5.73,4.92,Moderate,7.66,6.68,2.08,4.2,6.94,2.37,1.17,5.26,7.33,9.64,1.08,3.5,3.89,4.56
Osteoarthritis,6.12,Moderate,"Environmental Factors, Age, Stress Level","Sleep, Smoking",Unknown,High,5.76,7.53,High,4.87,6.35,6.62,8.46,2.29,9.87,9.67,1.94,5.12,4.77,8.11,8.68,7.57,1.41
PTSD,6.33,Moderate,"Alcohol Consumption, Blood Pressure, Environmental Factors","Sleep, Exercise",Low,High,8.18,7.06,Low,3.18,4.68,1.33,5.56,8.47,1.79,7.75,6.46,9.33,9.0,7.77,7.79,7.41,8.12
Leukemia,5.09,Moderate,"Age, Cholesterol Level, BMI","Stress, Sleep",Unknown,Low,4.12,6.49,Moderate,9.67,6.12,1.35,8.46,5.47,2.13,1.14,7.31,9.74,2.76,3.5,9.22,3.0,1.35
Hearing Loss,5.51,Moderate,"Family History, Sleep Quality, Gender","Smoking, Sleep",Low,Moderate,7.05,6.18,High,3.07,2.22,7.96,3.83,5.09,1.74,9.24,9.08,8.35,6.41,1.97,7.35,4.19,6.59
Hepatitis B,6.22,Moderate,"Blood Pressure, Environmental Factors, Family History","Smoking, Sleep",Moderate,Low,8.16,6.01,Low,7.62,4.09,9.45,2.32,4.67,4.76,2.48,5.56,6.22,6.51,8.83,9.83,7.2,7.56
Ear Infection,5.68,Moderate,"Physical Activity, Blood Pressure, Gender","Diet, Smoking",Low,Moderate,8.51,7.21,Low,9.55,7.45,3.21,2.66,6.26,6.22,6.23,8.78,6.88,2.85,5.2,5.43,2.19,6.67
Sciatica,5.03,Moderate,"Stress Level, Sleep Quality, Environmental Factors","Exercise, Stress",Low,High,5.0,6.17,Low,2.96,2.57,5.64,5.89,9.71,5.15,1.55,7.3,6.05,7.51,4.51,2.15,4.11,5.28
PTSD,5.52,Moderate,"Age, Smoking Status, Sleep Quality","Diet, Smoking",Low,High,7.17,4.98,High,5.97,2.92,7.44,6.52,3.66,3.01,4.18,8.61,1.38,6.83,7.65,8.0,5.4,5.71
Colon Cancer,4.64,Moderate,"Smoking Status, Blood Pressure, Blood Sugar Level","Stress, Sleep",Moderate,Low,6.4,5.65,Moderate,4.14,3.84,4.05,1.51,3.78,9.65,5.02,6.09,5.4,6.71,6.98,3.16,2.82,1.82
Epilepsy,4.82,Moderate,"Sleep Quality, BMI, Smoking Status","Diet, Exercise",Moderate,Low,5.2,5.07,Low,1.5,3.2,2.94,9.88,2.11,9.58,4.98,5.49,9.76,5.42,2.67,1.21,4.51,4.24
Endometriosis,4.31,Moderate,"Sleep Quality, Alcohol Consumption, Cholesterol Level","Sleep, Stress",High,Low,6.34,5.42,Moderate,3.21,2.33,8.7,2.59,3.7,2.85,3.77,6.75,5.12,4.82,6.04,1.26,4.43,4.77
Skin Cancer,5.98,Moderate,"Physical Activity, BMI, Gender","Exercise, Stress",High,Moderate,8.05,7.26,Moderate,5.88,3.86,6.42,3.77,3.17,4.69,5.02,8.71,9.08,5.37,9.47,1.34,6.9,9.99
Diarrhea,5.67,Moderate,"Stress Level, Alcohol Consumption, Environmental Factors","Diet, Sleep",Unknown,High,6.06,6.53,Moderate,2.05,7.37,5.15,2.09,3.8,8.43,7.92,8.4,7.85,5.97,3.47,5.02,9.58,2.23
Appendicitis,5.28,Moderate,"Blood Pressure, Environmental Factors, BMI","Smoking, Diet",Unknown,Low,7.01,6.04,High,2.33,6.43,1.58,2.47,4.62,8.64,9.59,2.47,9.85,1.19,2.02,5.86,8.19,8.67
Diarrhea,5.81,Moderate,"Cholesterol Level, Sleep Quality, Age","Sleep, Exercise",Unknown,Low,7.61,6.78,Low,7.48,4.56,5.52,8.3,8.88,4.72,3.92,2.1,3.86,2.85,8.79,6.01,5.65,8.67
Food Poisoning,5.66,Moderate,"Diet Quality, Blood Pressure, Alcohol Consumption","Smoking, Exercise",High,High,5.8,6.29,High,6.71,6.08,4.31,6.15,6.32,2.4,4.18,9.6,5.55,5.06,5.78,9.28,1.55,6.29
Osteoporosis,5.14,Moderate,"Family History, Blood Sugar Level, Gender","Exercise, Sleep",Moderate,Moderate,6.06,5.22,High,9.78,7.79,6.55,5.05,8.59,1.6,2.39,2.55,2.7,2.93,9.76,3.37,3.16,5.74
Laryngitis,4.96,Moderate,"Gender, Smoking Status, Sleep Quality","Sleep, Diet",Low,Low,6.98,5.04,Moderate,9.03,8.7,4.0,8.02,6.69,6.72,3.86,2.62,3.72,2.28,3.49,5.51,2.41,2.39
Constipation,6.02,Moderate,"Blood Sugar Level, Smoking Status, Physical Activity","Diet, Exercise",Moderate,High,5.54,6.33,Moderate,7.96,5.44,3.04,4.0,7.53,7.57,6.26,5.94,1.17,7.87,6.34,3.62,8.17,9.39
Celiac Disease,5.37,Moderate,"Gender, Blood Pressure, Environmental Factors","Stress, Smoking",Low,Low,7.39,5.18,Moderate,5.68,3.14,5.27,7.42,3.76,6.74,5.83,7.91,5.05,2.16,5.33,8.49,4.46,3.89
Coronary Artery Disease,6.23,Moderate,"Family History, Environmental Factors, Physical Activity","Diet, Smoking",High,Moderate,7.31,6.07,High,8.7,9.18,5.52,6.98,1.05,4.25,3.73,5.82,9.37,5.91,7.9,6.21,2.75,9.88
Vertigo,5.56,Moderate,"Cholesterol Level, Physical Activity, Family History","Smoking, Sleep",Unknown,Low,5.03,5.8,Low,9.7,5.84,1.01,3.29,9.24,7.17,7.27,3.33,7.92,1.22,4.01,2.69,9.78,5.39
Gout,6.43,Moderate,"Gender, Stress Level, Blood Sugar Level","Diet, Exercise",Unknown,Moderate,9.32,7.89,High,5.98,9.96,1.95,9.24,9.48,9.79,3.76,6.92,4.61,4.6,8.43,4.87,3.69,6.74
Kidney Stones,5.37,Moderate,"Diet Quality, Blood Pressure, Alcohol Consumption","Exercise, Sleep",High,High,5.42,6.78,Low,5.73,9.21,7.21,3.72,1.46,3.48,4.67,7.67,2.09,8.79,1.03,6.01,8.86,5.27
Arthritis,4.75,Moderate,"Sleep Quality, Environmental Factors, BMI","Diet, Stress",Low,Low,6.02,4.78,Moderate,7.82,8.88,8.86,2.85,5.32,1.55,5.54,4.52,3.84,2.51,4.02,3.38,2.56,4.84
Sinusitis,5.75,Moderate,"Environmental Factors, Blood Sugar Level, Diet Quality","Exercise, Sleep",Unknown,Low,4.91,5.94,High,6.42,7.62,5.74,1.41,3.6,2.05,7.94,6.87,5.51,6.79,8.88,5.64,8.46,3.6
ADHD,5.44,Moderate,"BMI, Smoking Status, Diet Quality","Smoking, Stress",Moderate,Low,4.98,5.19,High,1.26,5.02,7.98,3.92,6.2,4.84,6.5,2.49,8.2,4.76,9.26,7.69,3.51,4.55
Sinusitis,6.26,Moderate,"Stress Level, Alcohol Consumption, Environmental Factors","Sleep, Stress",Low,High,9.01,6.76,Low,6.59,3.43,8.27,5.0,7.21,5.46,8.66,9.87,4.26,3.38,9.11,7.44,3.08,5.84
Depression,4.6,Moderate,"Age, Gender, Sleep Quality","Exercise, Smoking",Moderate,Low,6.09,5.74,Low,5.86,1.39,1.49,4.11,1.55,1.48,8.08,9.55,4.01,2.02,9.97,1.48,4.56,8.9
Chickenpox,5.25,Moderate,"Smoking Status, Diet Quality, Family History","Smoking, Diet",Unknown,Low,7.39,4.93,Low,1.56,3.79,9.03,9.98,9.31,7.32,6.81,8.7,5.0,3.48,1.86,3.77,1.03,1.82
Depression,5.96,Moderate,"Family History, Gender, Blood Pressure","Exercise, Stress",High,High,7.05,7.08,High,8.76,8.86,2.33,7.5,9.23,7.4,4.84,5.85,4.36,4.26,9.94,6.84,1.58,1.75
Arthritis,5.12,Moderate,"Stress Level, Environmental Factors, Age","Smoking, Stress",High,Moderate,7.26,6.62,Moderate,4.04,6.11,7.22,1.2,7.48,7.96,2.48,4.33,2.25,1.39,3.86,9.14,9.48,4.79
Food Poisoning,5.19,Moderate,"Stress Level, Age, Gender","Diet, Exercise",Moderate,High,7.44,5.62,Moderate,3.47,3.48,3.53,1.04,9.2,7.54,8.11,5.85,2.28,5.75,9.95,5.45,1.48,5.54
Panic Disorder,4.62,Moderate,"Family History, Cholesterol Level, Stress Level","Exercise, Sleep",High,High,4.45,5.48,High,2.67,1.21,7.37,5.81,4.84,1.79,1.37,2.61,8.85,2.58,6.75,5.63,4.45,8.71
Mumps,5.68,Moderate,"Environmental Factors, Blood Sugar Level, Family History","Exercise, Diet",Unknown,High,6.39,6.6,Moderate,2.68,6.72,6.45,4.5,3.72,7.05,6.46,5.61,5.84,4.3,4.98,9.86,7.88,3.46
Back Pain,4.72,Moderate,"Smoking Status, Sleep Quality, Age","Sleep, Smoking",Low,High,5.12,5.04,Moderate,6.33,2.08,7.75,7.82,1.34,7.08,7.56,6.4,3.54,3.13,4.72,5.52,1.76,1.06
COVID-19,6.23,Moderate,"Physical Activity, Stress Level, Age","Exercise, Diet",Unknown,High,7.19,6.6,High,5.64,8.06,8.76,7.32,9.66,8.06,9.16,5.4,5.55,8.32,2.4,1.46,4.19,3.26
Tuberculosis,5.21,Moderate,"Stress Level, Diet Quality, Alcohol Consumption","Stress, Exercise",Low,Moderate,5.01,5.65,Low,3.05,2.0,2.82,4.17,1.45,8.56,5.18,7.98,6.32,9.02,7.7,1.17,9.11,4.35
Migraine,5.38,Moderate,"Physical Activity, Sleep Quality, BMI","Smoking, Diet",High,Moderate,7.14,6.91,Low,6.49,1.83,4.73,9.2,1.48,4.23,9.82,4.14,2.17,6.07,5.82,8.71,5.02,5.68
Breast Cancer,6.1,Moderate,"Family History, Gender, Smoking Status","Smoking, Exercise",Low,Low,6.44,6.71,Moderate,1.71,6.98,6.92,7.28,7.47,7.22,5.71,7.16,5.41,8.15,7.1,4.18,3.48,6.67
Heart Failure,5.88,Moderate,"Blood Sugar Level, BMI, Family History","Exercise, Stress",High,Low,6.19,6.25,Moderate,8.32,3.68,6.67,5.34,4.02,5.48,1.08,2.22,7.86,8.77,5.33,6.57,7.67,9.34
Cataracts,4.96,Moderate,"Physical Activity, Diet Quality, BMI","Diet, Sleep",High,High,7.19,4.95,Low,4.15,6.34,4.38,2.89,9.13,1.63,8.11,3.54,1.16,6.73,8.14,2.2,9.31,1.77
Hernia,5.36,Moderate,"Gender, Blood Pressure, Sleep Quality","Stress, Exercise",High,Low,7.3,6.04,Low,7.87,1.87,4.53,7.77,2.82,8.38,5.04,3.1,6.99,5.67,1.78,9.69,5.75,3.73
Psoriasis,5.44,Moderate,"Diet Quality, Physical Activity, Family History","Diet, Smoking",High,Low,4.73,7.06,High,1.86,7.25,1.26,9.56,1.23,9.16,6.97,4.19,6.27,9.31,6.66,2.78,5.79,3.86
Sinusitis,5.86,Moderate,"Gender, Environmental Factors, Family History","Stress, Sleep",Unknown,Moderate,8.46,6.56,Low,2.0,6.23,9.81,2.19,3.83,6.02,5.94,9.72,3.14,4.22,7.88,2.0,9.85,9.15
Arthritis,5.94,Moderate,"Blood Pressure, Sleep Quality, Diet Quality","Diet, Smoking",Unknown,Low,7.12,5.63,Moderate,6.7,5.18,9.99,8.68,1.16,3.27,9.03,1.17,7.61,7.49,3.88,8.32,1.73,8.97
PTSD,4.77,Moderate,"Blood Sugar Level, Gender, Family History","Diet, Stress",High,Low,6.7,4.6,Low,8.36,2.93,6.88,2.28,1.47,9.15,3.77,6.02,3.43,3.17,4.72,5.39,6.78,2.38
Constipation,5.27,Moderate,"Diet Quality, Sleep Quality, Alcohol Consumption","Diet, Stress",High,Low,7.13,6.82,Low,1.59,8.92,3.29,2.27,7.61,4.04,7.14,5.79,4.76,8.84,4.34,3.06,5.31,6.83
Cholecystitis,5.85,Moderate,"Blood Sugar Level, Alcohol Consumption, Age","Diet, Stress",Unknown,Moderate,5.7,7.17,Moderate,1.85,6.86,2.89,2.26,4.24,1.92,7.9,9.6,6.05,2.78,9.91,9.91,6.34,9.33
Iron Deficiency,4.89,Moderate,"Cholesterol Level, Age, Physical Activity","Smoking, Sleep",High,Moderate,6.66,5.94,Moderate,5.3,6.21,2.94,8.55,3.64,4.85,5.45,4.43,3.18,2.92,7.02,4.38,1.86,7.76
Sciatica,7.0,High,"Environmental Factors, Blood Sugar Level, Gender","Smoking, Exercise",High,Moderate,8.72,8.4,Low,8.42,9.45,9.28,6.58,5.28,1.69,6.29,9.96,8.83,7.53,9.95,8.53,4.18,2.0
Hepatitis C,4.73,Moderate,"Diet Quality, Smoking Status, Physical Activity","Exercise, Stress",Moderate,High,7.05,5.91,Moderate,3.32,1.64,4.53,9.82,2.99,5.62,5.63,8.62,3.87,3.22,1.81,7.44,6.17,1.54
Celiac Disease,5.29,Moderate,"Blood Pressure, Diet Quality, Gender","Diet, Smoking",Low,High,7.59,6.13,Moderate,7.52,6.48,2.19,4.22,5.28,1.71,6.91,5.96,9.99,5.45,2.7,7.2,2.16,6.33
Malaria,5.93,Moderate,"Blood Pressure, Physical Activity, Blood Sugar Level","Stress, Sleep",Low,High,6.12,5.64,Low,8.01,9.98,6.68,8.66,3.44,1.89,5.09,8.29,5.04,7.19,4.59,6.83,5.84,1.45
Parkinsons Disease,5.46,Moderate,"Blood Sugar Level, Sleep Quality, Age","Diet, Sleep",Moderate,Moderate,8.14,5.95,Low,8.66,4.63,9.72,6.81,6.32,1.39,9.6,1.6,6.45,5.34,4.31,7.72,2.32,1.58
Gout,6.26,Moderate,"Alcohol Consumption, Physical Activity, Diet Quality","Smoking, Stress",High,High,8.79,7.72,High,9.67,8.62,3.67,2.61,1.33,7.94,6.24,9.22,9.39,6.42,4.16,6.01,3.59,8.82
UTI,5.03,Moderate,"Alcohol Consumption, Physical Activity, Diet Quality","Smoking, Exercise",High,High,6.91,6.47,High,7.66,5.66,7.98,5.21,7.73,9.82,1.37,3.05,1.74,1.86,5.82,4.58,4.45,3.53
Acid Reflux,5.28,Moderate,"Blood Pressure, Cholesterol Level, Age","Sleep, Stress",Moderate,Moderate,7.47,5.71,High,4.95,6.85,9.27,5.52,2.04,5.85,4.28,2.95,3.01,4.44,3.78,2.55,9.14,9.32
Macular Degeneration,5.76,Moderate,"Sleep Quality, Family History, BMI","Diet, Stress",High,Moderate,7.37,7.29,Low,7.15,8.64,3.81,3.33,9.1,4.69,5.54,9.88,1.13,6.66,2.04,6.26,4.33,8.11
Depression,4.35,Moderate,"Stress Level, Age, Cholesterol Level","Stress, Diet",High,Low,6.36,4.84,Moderate,2.01,4.09,4.87,4.48,2.99,4.18,9.65,2.46,3.45,2.21,6.45,3.39,2.67,7.94
Stroke,6.09,Moderate,"Cholesterol Level, Alcohol Consumption, BMI","Sleep, Smoking",High,Low,5.91,7.04,Low,1.59,8.72,3.77,6.56,4.05,9.66,5.26,5.81,6.8,6.91,8.82,4.85,9.53,2.97
Lymphoma,5.06,Moderate,"Gender, Diet Quality, Blood Sugar Level","Diet, Sleep",Unknown,Low,4.55,4.95,High,1.71,7.57,7.05,3.2,4.18,4.77,4.41,5.29,4.73,1.3,6.23,7.1,3.83,9.45
Anxiety Disorder,6.37,Moderate,"Age, Family History, Smoking Status","Smoking, Diet",Unknown,High,6.77,8.12,High,5.18,5.0,2.39,4.89,9.46,1.68,7.98,9.49,9.7,9.99,3.88,5.45,5.93,8.21
Gallstones,5.33,Moderate,"Gender, Diet Quality, Alcohol Consumption","Exercise, Sleep",High,High,6.96,4.81,Moderate,9.29,8.43,3.9,6.02,6.79,4.66,1.34,3.37,9.93,1.88,7.89,3.39,6.6,1.16
Metabolic Syndrome,5.54,Moderate,"Environmental Factors, Gender, Alcohol Consumption","Exercise, Sleep",High,Moderate,6.72,5.7,High,2.42,3.82,3.21,1.28,2.86,6.91,2.1,1.85,7.54,8.96,8.88,8.74,9.42,9.54
Laryngitis,6.07,Moderate,"Blood Sugar Level, Environmental Factors, Smoking Status","Stress, Diet",Low,High,7.27,6.03,Low,8.09,8.28,9.37,9.8,9.34,1.49,5.04,2.71,1.85,6.4,2.48,9.57,5.69,4.9
Colon Cancer,5.84,Moderate,"Blood Pressure, Stress Level, Gender","Exercise, Stress",Moderate,High,5.48,5.66,Moderate,4.16,4.6,4.03,5.07,9.12,6.12,8.38,3.28,8.77,5.89,1.75,5.63,8.12,6.82
Dengue Fever,5.0,Moderate,"Sleep Quality, Family History, Physical Activity","Sleep, Smoking",Low,Low,6.9,5.12,Moderate,8.01,4.35,9.26,8.62,1.72,1.11,4.29,1.33,2.43,7.97,7.83,5.78,1.99,5.28
Gastritis,5.63,Moderate,"Cholesterol Level, BMI, Stress Level","Diet, Exercise",Moderate,Moderate,7.7,6.12,Low,4.15,9.05,6.7,7.5,5.21,5.8,4.02,7.34,1.39,4.86,7.49,3.06,5.44,6.8
Pneumonia,4.86,Moderate,"Diet Quality, Alcohol Consumption, Blood Pressure","Exercise, Stress",Moderate,Moderate,4.95,4.99,Low,4.51,6.9,3.37,8.6,5.09,1.63,6.08,8.27,3.98,4.85,3.4,2.81,1.5,7.06
Dermatitis,5.53,Moderate,"Cholesterol Level, Blood Pressure, Age","Stress, Diet",High,High,7.66,5.87,Low,1.06,7.61,9.3,1.54,6.04,4.07,4.11,8.76,3.68,7.96,9.16,7.15,2.66,4.34
