drug_1,drug_2,interaction_severity,interaction_type,clinical_effect,mechanism,management,evidence_level,onset_time,age_considerations
Sertraline,Warfarin,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Warfarin,Prednisone,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Furosemide,Albuterol,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Diphenhydramine,Sertraline,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Pediatric
Warfarin,Prednisone,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Clonazepam,Cetirizine,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Atorvastatin,Amoxicillin,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Furosemide,Losartan,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Elderly
Amoxicillin,Clonazepam,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Hydrochlorothiazide,Tramadol,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Elderly
Prednisone,Ibuprofen,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Pediatric
Omeprazole,Furosemide,Major,Pharmacodynamic,Substantial efficacy loss,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Prednisone,Albuterol,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Elderly
Gabapentin,Warfarin,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Adults only
Warfarin,Hydrochlorothiazide,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Hydrochlorothiazide,Lisinopril,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Pediatric
Atorvastatin,Sertraline,Major,Synergistic,Substantial efficacy loss,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
Furosemide,Lisinopril,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Adults only
Clonazepam,Lisinopril,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Aspirin,Metformin,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Ibuprofen,Gabapentin,Moderate,Antagonistic,Increased side effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,All ages
Metformin,Omeprazole,Major,Synergistic,Substantial efficacy loss,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Amoxicillin,Ibuprofen,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Lorazepam,Albuterol,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
Losartan,Aspirin,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Lisinopril,Prednisone,Major,Synergistic,Substantial efficacy loss,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Cetirizine,Lisinopril,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Lisinopril,Insulin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Amoxicillin,Omeprazole,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Pediatric
Warfarin,Acetaminophen,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Warfarin,Losartan,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Elderly
Gabapentin,Metformin,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Lorazepam,Metformin,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Gabapentin,Levothyroxine,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Metformin,Acetaminophen,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Adults only
Albuterol,Insulin,Major,Pharmacodynamic,Substantial efficacy loss,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Lorazepam,Lisinopril,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Lorazepam,Ibuprofen,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Pediatric
Acetaminophen,Tramadol,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Adults only
Lisinopril,Ibuprofen,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Elderly
Cetirizine,Albuterol,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Amoxicillin,Acetaminophen,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Levothyroxine,Hydrochlorothiazide,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Levothyroxine,Metformin,Severe,Synergistic,Life-threatening reactions,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Warfarin,Losartan,Major,Antagonistic,Significant adverse effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Acetaminophen,Losartan,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Amoxicillin,Montelukast,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Amoxicillin,Acetaminophen,Moderate,Antagonistic,Increased side effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Cetirizine,Losartan,Major,Antagonistic,Substantial efficacy loss,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Elderly
Acetaminophen,Atorvastatin,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Prednisone,Aspirin,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Levothyroxine,Tramadol,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Hydrochlorothiazide,Sertraline,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Hydrochlorothiazide,Ibuprofen,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Elderly
Prednisone,Insulin,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Clonazepam,Insulin,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),All ages
Tramadol,Hydrochlorothiazide,Major,Synergistic,Substantial efficacy loss,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Metformin,Montelukast,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Ibuprofen,Lorazepam,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Pediatric
Insulin,Hydrochlorothiazide,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Montelukast,Furosemide,Major,Synergistic,Significant adverse effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Clonazepam,Hydrochlorothiazide,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Clonazepam,Lorazepam,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Prednisone,Losartan,Moderate,Pharmacodynamic,Requires monitoring,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Losartan,Gabapentin,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Aspirin,Losartan,Major,Pharmacodynamic,Substantial efficacy loss,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),All ages
Prednisone,Hydrochlorothiazide,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Lisinopril,Gabapentin,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Elderly
Warfarin,Atorvastatin,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Insulin,Metformin,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Adults only
Sertraline,Gabapentin,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Pediatric
Gabapentin,Diphenhydramine,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Elderly
Lorazepam,Hydrochlorothiazide,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Elderly
Levothyroxine,Amoxicillin,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
Clonazepam,Lorazepam,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),All ages
Hydrochlorothiazide,Levothyroxine,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Elderly
Cetirizine,Warfarin,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Lisinopril,Clonazepam,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Elderly
Insulin,Atorvastatin,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Aspirin,Albuterol,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Levothyroxine,Amoxicillin,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Adults only
Sertraline,Lorazepam,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Aspirin,Losartan,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),All ages
Diphenhydramine,Cetirizine,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),All ages
Ibuprofen,Atorvastatin,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Pediatric
Warfarin,Gabapentin,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Pediatric
Warfarin,Tramadol,Moderate,Pharmacodynamic,Reduced effectiveness,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Lisinopril,Montelukast,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Amoxicillin,Lorazepam,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Diphenhydramine,Metformin,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Pediatric
Prednisone,Aspirin,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Ibuprofen,Atorvastatin,Major,Antagonistic,Substantial efficacy loss,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Levothyroxine,Gabapentin,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Furosemide,Prednisone,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Pediatric
Gabapentin,Lisinopril,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Warfarin,Albuterol,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Albuterol,Aspirin,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Montelukast,Cetirizine,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Elderly
Metformin,Furosemide,Moderate,Pharmacodynamic,Reduced effectiveness,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Elderly
Cetirizine,Hydrochlorothiazide,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Clonazepam,Levothyroxine,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Clonazepam,Levothyroxine,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Pediatric
Tramadol,Montelukast,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Omeprazole,Metformin,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Pediatric
Metformin,Insulin,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Losartan,Acetaminophen,Major,Synergistic,Substantial efficacy loss,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Montelukast,Metformin,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Metformin,Aspirin,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Clonazepam,Levothyroxine,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Elderly
Warfarin,Lorazepam,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Omeprazole,Furosemide,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Furosemide,Gabapentin,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Pediatric
Hydrochlorothiazide,Lorazepam,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
Metformin,Sertraline,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Warfarin,Hydrochlorothiazide,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Hydrochlorothiazide,Gabapentin,Severe,Synergistic,Life-threatening reactions,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Metformin,Warfarin,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Montelukast,Aspirin,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Adults only
Tramadol,Sertraline,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Albuterol,Sertraline,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Levothyroxine,Hydrochlorothiazide,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Pediatric
Metformin,Amoxicillin,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Pediatric
Aspirin,Ibuprofen,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Levothyroxine,Albuterol,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Metformin,Atorvastatin,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Lisinopril,Warfarin,Moderate,Antagonistic,Increased side effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Lisinopril,Diphenhydramine,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Elderly
Prednisone,Insulin,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Adults only
Hydrochlorothiazide,Omeprazole,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Montelukast,Diphenhydramine,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Clonazepam,Losartan,Severe,Synergistic,Life-threatening reactions,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Cetirizine,Ibuprofen,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Albuterol,Tramadol,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Adults only
Amoxicillin,Metformin,Major,Antagonistic,Significant adverse effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Sertraline,Lorazepam,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Elderly
Albuterol,Omeprazole,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Lisinopril,Insulin,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Lorazepam,Gabapentin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Montelukast,Metformin,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,All ages
Warfarin,Metformin,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Levothyroxine,Cetirizine,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),All ages
Levothyroxine,Omeprazole,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Lorazepam,Atorvastatin,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Lisinopril,Levothyroxine,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Hydrochlorothiazide,Losartan,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Montelukast,Aspirin,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Ibuprofen,Metformin,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Amoxicillin,Gabapentin,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Tramadol,Losartan,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Gabapentin,Clonazepam,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),All ages
Clonazepam,Cetirizine,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Losartan,Lisinopril,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Warfarin,Sertraline,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Amoxicillin,Warfarin,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Lisinopril,Metformin,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
