disease,precaution_1,precaution_2,precaution_3,precaution_4,precaution_5,precaution_6,severity_level,urgency,follow_up_days
PCOS,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,Low,87
Osteoporosis,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,Moderate,Emergency,57
Multiple Sclerosis,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Moderate,Emergency,4
Glaucoma,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,,Moderate,High,16
Obesity,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Moderate,Emergency,17
Hypertension,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Critical,Medium,20
Colon Cancer,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,,,Critical,Emergency,5
Coronary Artery Disease,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,Moderate,Low,45
Alzheimers Disease,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Critical,High,67
Dermatitis,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Mild,Medium,31
Depression,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Low,7
Obesity,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,,Critical,Low,31
Chronic Kidney Disease,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,,Severe,Low,1
Flu,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Mild,Low,86
Crohns Disease,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,,Moderate,Emergency,30
Panic Disorder,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Mild,Low,51
Schizophrenia,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Moderate,Low,21
Crohns Disease,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Mild,Medium,79
Tension Headache,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Severe,Emergency,76
IBS,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Mild,Low,73
Kidney Stones,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,Critical,Low,85
Eczema,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,,Critical,Low,11
Diabetes Type 1,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Severe,Low,6
Salmonella,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,Moderate,High,23
Hepatitis C,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,,Severe,High,2
PCOS,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,,,Mild,Medium,39
Hearing Loss,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,Mild,Emergency,33
Hepatitis C,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Severe,Emergency,66
Fibromyalgia,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Critical,High,1
Rheumatoid Arthritis,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,Critical,Medium,21
Flu,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,Moderate,Medium,31
Heart Disease,Engage in 150 minutes moderate aerobic exercise weekly,Quit smoking and avoid all tobacco products,Maintain healthy weight (BMI 18.5-24.9),Take prescribed medications exactly as directed,Monitor blood pressure daily at same time,,Severe,High,39
Diabetes Type 1,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,Severe,Low,66
Cholecystitis,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Moderate,Emergency,13
Macular Degeneration,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Severe,Emergency,10
Cataracts,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Severe,Low,72
Migraine,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,Moderate,High,24
Multiple Sclerosis,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Severe,Low,32
Skin Allergies,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,,Moderate,Emergency,37
Hypothyroidism,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,Critical,Emergency,20
Depression,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Mild,Medium,65
Rheumatoid Arthritis,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,,Moderate,Emergency,2
Psoriasis,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,Moderate,Emergency,3
Tonsillitis,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,,Critical,Emergency,41
Alzheimers Disease,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,Moderate,Low,69
Insomnia,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,Mild,Low,15
Coronary Artery Disease,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Moderate,Emergency,90
Macular Degeneration,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Severe,Low,69
GERD,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Mild,Emergency,71
Tension Headache,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,Medium,58
Macular Degeneration,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,Critical,Medium,35
Panic Disorder,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,Critical,Low,19
Dermatitis,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Severe,High,16
Tension Headache,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Moderate,High,25
Multiple Sclerosis,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Mild,High,84
Hepatitis A,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,Critical,Medium,11
Skin Allergies,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,Moderate,Low,1
Obesity,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,High,40
Heart Disease,Engage in 150 minutes moderate aerobic exercise weekly,Monitor blood pressure daily at same time,Quit smoking and avoid all tobacco products,Maintain healthy weight (BMI 18.5-24.9),Take prescribed medications exactly as directed,"Limit alcohol intake (1 drink/day women, 2 drinks/day men)",Mild,Emergency,67
Food Poisoning,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,Severe,Low,39
Coronary Artery Disease,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,,Severe,High,19
Dermatitis,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Critical,Medium,52
COVID-19,Monitor oxygen saturation with pulse oximeter,Isolate for minimum 5-10 days from symptom onset,Maintain 6+ feet distance from others,Disinfect frequently touched surfaces daily,Wear N95 or KN95 masks in public spaces,,Severe,Emergency,88
Lactose Intolerance,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,,Critical,Medium,2
Lactose Intolerance,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,Moderate,Emergency,33
Thyroid Disorder,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,,Critical,Medium,37
Glaucoma,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,,Severe,Emergency,82
Dengue Fever,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,,Mild,High,15
Hepatitis C,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,,Moderate,Medium,17
Fibromyalgia,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,Low,89
Ulcerative Colitis,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Mild,Medium,21
Skin Allergies,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,,Severe,Emergency,3
Prostate Cancer,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,,Moderate,Emergency,42
Osteoporosis,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Emergency,32
Sinusitis,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,Mild,Medium,33
Coronary Artery Disease,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,,Mild,High,11
Skin Cancer,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,Critical,High,82
UTI,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,,Critical,High,33
Sciatica,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Mild,Emergency,36
Metabolic Syndrome,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,,,Mild,Medium,28
Colon Cancer,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Mild,Low,7
Peptic Ulcer,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,Mild,High,64
Panic Disorder,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,,,Critical,Medium,34
Sinusitis,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,,Moderate,High,82
Hepatitis A,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,,Moderate,Emergency,55
Arthritis,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,,Mild,Low,15
Meniere Disease,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,,Moderate,Low,66
Psoriasis,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,,Mild,Low,36
Tension Headache,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Mild,High,76
Laryngitis,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Severe,Low,60
Appendicitis,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Mild,Medium,13
Skin Cancer,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,,Mild,Emergency,29
Coronary Artery Disease,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,,Mild,Medium,59
Constipation,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,Moderate,Medium,83
PTSD,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,Moderate,Emergency,39
Appendicitis,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,,Severe,High,41
Bronchitis,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,Critical,Emergency,23
Tuberculosis,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,,,Severe,Emergency,83
Insomnia,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,,Mild,Emergency,49
Gallstones,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Severe,Emergency,89
Hepatitis B,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,,Severe,Emergency,43
Peptic Ulcer,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Severe,High,88
Prostate Cancer,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Critical,Emergency,3
Thyroid Disorder,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,,Severe,Medium,70
Skin Allergies,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,,Moderate,Low,58
Vertigo,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,,,Mild,Emergency,68
Chickenpox,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Emergency,83
Dengue Fever,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,Medium,58
Skin Cancer,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Severe,Low,76
Laryngitis,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,Moderate,High,12
Sciatica,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,,Moderate,Emergency,21
Epilepsy,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Moderate,Medium,2
Sleep Apnea,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Severe,Low,60
Measles,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,Critical,Medium,7
Fibromyalgia,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Medium,58
Osteoporosis,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Mild,Emergency,26
Anemia,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Severe,Medium,5
