disease,description,icd_10_code,category,contagious,duration_days,mortality_rate,prevalence_per_100k,age_group_risk,complications,last_updated
Panic Disorder,Panic Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S90.8,Respiratory,Partially,14-30,2.298,169,All ages,May lead to various complications if left untreated,2025-05-17
Chronic Kidney Disease,Chronic Kidney Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z94.8,Endocrine,Partially,14-30,1.259,3204,Elderly,May lead to various complications if left untreated,2024-12-07
Pneumonia,Pneumonia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I69.7,Respiratory,Partially,Chronic,9.458,3440,Children,May lead to various complications if left untreated,2025-03-28
Anemia,Anemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W37.9,Endocrine,Yes,7-14,7.348,4921,All ages,May lead to various complications if left untreated,2025-03-07
Tension Headache,Tension Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R73.4,Infectious,Yes,7-14,9.31,3929,All ages,May lead to various complications if left untreated,2025-08-24
Prostate Cancer,Prostate Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G66.2,Endocrine,Partially,3-7,8.146,1105,Children,May lead to various complications if left untreated,2024-12-02
IBS,IBS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F42.7,Respiratory,No,7-14,5.72,3636,Elderly,May lead to various complications if left untreated,2024-11-03
Skin Allergies,Skin Allergies is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U36.8,Endocrine,No,3-7,13.181,522,Adults,May lead to various complications if left untreated,2024-11-29
Tonsillitis,Tonsillitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E57.2,Respiratory,No,Chronic,9.003,2788,Adults,May lead to various complications if left untreated,2024-10-01
Dengue Fever,Dengue Fever is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O79.8,Neurological,No,7-14,6.421,58,Adults,May lead to various complications if left untreated,2025-08-22
Breast Cancer,Breast Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H48.3,Infectious,Yes,Chronic,9.235,2853,Children,May lead to various complications if left untreated,2025-02-07
IBS,IBS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P43.1,Endocrine,Partially,14-30,13.344,1697,All ages,May lead to various complications if left untreated,2024-12-06
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X80.2,Cardiovascular,Partially,Chronic,14.848,1536,Elderly,May lead to various complications if left untreated,2025-08-01
Metabolic Syndrome,Metabolic Syndrome is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V32.0,Respiratory,Yes,14-30,9.362,4277,Adults,May lead to various complications if left untreated,2025-07-14
Hypertension,Hypertension is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K95.2,Infectious,Yes,3-7,3.762,2123,Adults,May lead to various complications if left untreated,2025-03-17
COVID-19,"Coronavirus disease caused by SARS-CoV-2 virus affecting respiratory system, cardiovascular system, and multiple organs. Can range from asymptomatic to severe respiratory failure.",U07.1,Infectious Disease,Yes,5-14,2.1,1200,Adults,May lead to various complications if left untreated,2025-08-27
UTI,UTI is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P39.6,Neurological,No,14-30,9.747,3102,Children,May lead to various complications if left untreated,2024-12-23
Peptic Ulcer,Peptic Ulcer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K36.5,Neurological,Partially,3-7,10.501,997,Children,May lead to various complications if left untreated,2024-12-25
Constipation,Constipation is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L92.2,Endocrine,Partially,7-14,10.562,3230,Children,May lead to various complications if left untreated,2025-08-07
Laryngitis,Laryngitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D38.3,Respiratory,Partially,14-30,3.121,2772,All ages,May lead to various complications if left untreated,2024-09-12
Vertigo,Vertigo is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P66.5,Neurological,No,14-30,14.718,1511,Adults,May lead to various complications if left untreated,2025-05-15
Psoriasis,Psoriasis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R39.9,Respiratory,No,14-30,11.212,134,Children,May lead to various complications if left untreated,2024-10-10
PTSD,PTSD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q58.2,Cardiovascular,Partially,3-7,2.854,4765,All ages,May lead to various complications if left untreated,2025-06-09
Skin Cancer,Skin Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U94.9,Infectious,No,7-14,12.574,508,Children,May lead to various complications if left untreated,2025-03-15
PTSD,PTSD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R96.1,Endocrine,Yes,3-7,2.022,2030,Children,May lead to various complications if left untreated,2025-08-23
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,Children,May lead to various complications if left untreated,2025-03-30
Gastritis,Gastritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L14.1,Cardiovascular,Partially,3-7,5.176,445,Elderly,May lead to various complications if left untreated,2025-07-29
Varicose Veins,Varicose Veins is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D73.9,Respiratory,No,14-30,13.575,1819,All ages,May lead to various complications if left untreated,2024-12-09
Gastritis,Gastritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N25.4,Infectious,No,3-7,5.687,326,Adults,May lead to various complications if left untreated,2025-05-20
Diabetes Type 1,Diabetes Type 1 is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D56.6,Endocrine,Partially,3-7,12.869,4781,Children,May lead to various complications if left untreated,2025-05-12
Breast Cancer,Breast Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T54.0,Endocrine,Partially,14-30,11.228,2770,All ages,May lead to various complications if left untreated,2024-10-04
ADHD,ADHD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H43.2,Infectious,Partially,14-30,12.843,4761,Elderly,May lead to various complications if left untreated,2025-03-08
UTI,UTI is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P56.0,Neurological,Partially,7-14,5.101,4718,All ages,May lead to various complications if left untreated,2025-03-15
Hepatitis C,Hepatitis C is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y52.1,Respiratory,No,3-7,10.736,2419,Children,May lead to various complications if left untreated,2024-11-06
Breast Cancer,Breast Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P91.5,Infectious,Yes,Chronic,3.306,4255,Elderly,May lead to various complications if left untreated,2024-11-15
Gastritis,Gastritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E26.8,Endocrine,Yes,14-30,5.467,477,All ages,May lead to various complications if left untreated,2025-06-30
Diarrhea,Diarrhea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J38.5,Respiratory,No,3-7,12.402,1029,All ages,May lead to various complications if left untreated,2025-07-17
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P74.7,Neurological,Yes,14-30,5.38,3904,Elderly,May lead to various complications if left untreated,2025-03-22
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F39.8,Neurological,Partially,7-14,11.074,2460,All ages,May lead to various complications if left untreated,2025-07-27
Heart Failure,Heart Failure is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q91.9,Respiratory,Yes,7-14,4.252,1666,Adults,May lead to various complications if left untreated,2024-12-02
Lymphoma,Lymphoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U64.1,Endocrine,Partially,7-14,3.622,1222,Children,May lead to various complications if left untreated,2025-07-20
Hepatitis C,Hepatitis C is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F25.5,Endocrine,No,Chronic,3.845,2174,Adults,May lead to various complications if left untreated,2025-06-23
Tension Headache,Tension Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X47.5,Cardiovascular,Yes,14-30,2.342,4288,Elderly,May lead to various complications if left untreated,2025-05-02
Crohns Disease,Crohns Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q78.8,Respiratory,Partially,14-30,2.123,4868,Adults,May lead to various complications if left untreated,2024-11-24
Deep Vein Thrombosis,Deep Vein Thrombosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U61.3,Infectious,Yes,7-14,8.258,4540,All ages,May lead to various complications if left untreated,2025-03-22
Hernia,Hernia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S53.5,Neurological,Yes,Chronic,8.813,1173,Adults,May lead to various complications if left untreated,2024-11-13
GERD,GERD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R96.0,Infectious,Yes,Chronic,14.899,4607,Adults,May lead to various complications if left untreated,2024-12-03
Heart Disease,"Broad term for conditions affecting heart and blood vessels, including coronary artery disease, heart failure, arrhythmias, and valvular diseases. Leading cause of death globally.",I25.9,Cardiovascular,No,Chronic,23.1,665,Children,May lead to various complications if left untreated,2025-02-07
Endometriosis,Endometriosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I82.9,Neurological,No,3-7,5.339,1263,Elderly,May lead to various complications if left untreated,2025-02-21
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X52.9,Respiratory,No,7-14,2.609,2133,Adults,May lead to various complications if left untreated,2025-07-01
Skin Cancer,Skin Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H72.3,Neurological,Yes,3-7,11.137,26,Children,May lead to various complications if left untreated,2024-10-03
Gout,Gout is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S89.8,Cardiovascular,Yes,Chronic,7.857,1717,Elderly,May lead to various complications if left untreated,2024-12-07
Deep Vein Thrombosis,Deep Vein Thrombosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H91.8,Infectious,No,3-7,2.171,2577,Children,May lead to various complications if left untreated,2025-07-27
Crohns Disease,Crohns Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O30.6,Respiratory,Partially,3-7,13.47,474,All ages,May lead to various complications if left untreated,2024-11-30
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H80.1,Endocrine,Partially,14-30,0.873,2968,Adults,May lead to various complications if left untreated,2025-09-04
Macular Degeneration,Macular Degeneration is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R55.3,Respiratory,No,Chronic,10.21,3891,Elderly,May lead to various complications if left untreated,2025-09-03
Vertigo,Vertigo is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C26.8,Respiratory,Yes,14-30,3.226,3563,Elderly,May lead to various complications if left untreated,2024-11-02
Leukemia,Leukemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E11.1,Neurological,Partially,3-7,11.162,2843,Elderly,May lead to various complications if left untreated,2025-02-17
Skin Allergies,Skin Allergies is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V10.7,Respiratory,Yes,3-7,1.769,4250,All ages,May lead to various complications if left untreated,2024-11-03
Schizophrenia,Schizophrenia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W63.3,Endocrine,No,Chronic,9.019,2069,All ages,May lead to various complications if left untreated,2024-09-24
Hepatitis B,Hepatitis B is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y36.2,Cardiovascular,Yes,7-14,10.672,4342,Elderly,May lead to various complications if left untreated,2025-07-26
Heart Disease,"Broad term for conditions affecting heart and blood vessels, including coronary artery disease, heart failure, arrhythmias, and valvular diseases. Leading cause of death globally.",I25.9,Cardiovascular,No,Chronic,23.1,665,Elderly,May lead to various complications if left untreated,2025-07-07
Bronchitis,Bronchitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U81.5,Neurological,No,Chronic,5.043,3923,Adults,May lead to various complications if left untreated,2025-05-01
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L45.2,Neurological,No,7-14,1.778,4299,Adults,May lead to various complications if left untreated,2025-04-29
Sleep Apnea,Sleep Apnea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R32.2,Respiratory,Partially,Chronic,14.396,2302,Elderly,May lead to various complications if left untreated,2025-08-01
Breast Cancer,Breast Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X14.7,Respiratory,Yes,7-14,2.235,181,Elderly,May lead to various complications if left untreated,2025-03-10
Anemia,Anemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M52.2,Infectious,Partially,7-14,6.671,2042,Children,May lead to various complications if left untreated,2024-11-10
Chronic Kidney Disease,Chronic Kidney Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N22.2,Endocrine,No,3-7,14.588,3258,All ages,May lead to various complications if left untreated,2025-06-22
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J45.1,Cardiovascular,No,7-14,12.273,4050,Elderly,May lead to various complications if left untreated,2025-07-20
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C94.5,Neurological,Partially,3-7,1.244,4198,Children,May lead to various complications if left untreated,2025-07-02
Parkinsons Disease,Parkinsons Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J73.2,Cardiovascular,Partially,3-7,2.0,320,Adults,May lead to various complications if left untreated,2024-12-13
Osteoarthritis,Osteoarthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F78.3,Infectious,No,7-14,5.763,2274,Children,May lead to various complications if left untreated,2025-09-04
Panic Disorder,Panic Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I62.1,Infectious,Partially,14-30,11.42,2780,Elderly,May lead to various complications if left untreated,2024-11-21
Appendicitis,Appendicitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S22.8,Respiratory,No,7-14,9.969,980,Elderly,May lead to various complications if left untreated,2024-12-15
Anemia,Anemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G27.9,Infectious,Yes,14-30,7.534,1945,Elderly,May lead to various complications if left untreated,2025-05-18
Epilepsy,Epilepsy is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W92.7,Infectious,Partially,3-7,6.225,3624,Adults,May lead to various complications if left untreated,2024-12-15
Hyperthyroidism,Hyperthyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K35.7,Neurological,Yes,14-30,6.435,3634,Children,May lead to various complications if left untreated,2025-04-27
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V85.8,Neurological,No,7-14,2.208,4120,Adults,May lead to various complications if left untreated,2024-09-21
Typhoid,Typhoid is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M79.2,Cardiovascular,Partially,Chronic,8.605,3755,Adults,May lead to various complications if left untreated,2025-05-02
UTI,UTI is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W86.4,Cardiovascular,Yes,3-7,2.134,4815,Adults,May lead to various complications if left untreated,2025-08-25
Hepatitis C,Hepatitis C is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G74.2,Endocrine,No,14-30,0.706,2184,Adults,May lead to various complications if left untreated,2025-06-07
Skin Allergies,Skin Allergies is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y24.2,Infectious,Yes,3-7,12.762,2640,Adults,May lead to various complications if left untreated,2025-02-25
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C30.7,Infectious,Yes,3-7,12.596,4059,Adults,May lead to various complications if left untreated,2024-11-30
Anemia,Anemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C31.8,Endocrine,Partially,3-7,2.611,2601,Children,May lead to various complications if left untreated,2025-03-29
Macular Degeneration,Macular Degeneration is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A34.9,Cardiovascular,Yes,3-7,6.734,2702,Elderly,May lead to various complications if left untreated,2025-06-08
Hernia,Hernia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I67.6,Endocrine,Partially,Chronic,3.65,4515,Adults,May lead to various complications if left untreated,2024-11-11
Appendicitis,Appendicitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L12.7,Cardiovascular,Partially,7-14,5.602,2146,All ages,May lead to various complications if left untreated,2024-11-26
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V29.4,Neurological,Partially,3-7,10.524,2175,Elderly,May lead to various complications if left untreated,2025-07-30
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B76.4,Cardiovascular,Yes,7-14,0.24,2605,Adults,May lead to various complications if left untreated,2025-06-06
ADHD,ADHD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H91.4,Cardiovascular,Partially,7-14,1.422,4278,All ages,May lead to various complications if left untreated,2025-05-16
Arthritis,Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I88.6,Neurological,Partially,7-14,4.402,4682,Adults,May lead to various complications if left untreated,2025-08-11
Tension Headache,Tension Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B72.5,Neurological,Yes,Chronic,1.585,3611,Adults,May lead to various complications if left untreated,2024-11-19
Chronic Kidney Disease,Chronic Kidney Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X40.7,Neurological,No,7-14,11.421,4107,Children,May lead to various complications if left untreated,2025-05-09
Hypothyroidism,Hypothyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N54.9,Respiratory,Yes,14-30,0.076,2486,Children,May lead to various complications if left untreated,2025-02-01
Skin Cancer,Skin Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N17.0,Endocrine,No,7-14,2.273,1979,Elderly,May lead to various complications if left untreated,2025-06-17
Hypothyroidism,Hypothyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K52.2,Respiratory,Yes,14-30,0.452,4534,Elderly,May lead to various complications if left untreated,2025-09-02
Migraine,Migraine is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B25.9,Neurological,No,7-14,6.71,1564,Children,May lead to various complications if left untreated,2025-02-14
Endometriosis,Endometriosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y76.0,Respiratory,Partially,14-30,12.195,51,All ages,May lead to various complications if left untreated,2024-11-12
Vertigo,Vertigo is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D84.4,Endocrine,No,7-14,11.425,1517,Elderly,May lead to various complications if left untreated,2025-05-21
Hypertension,Hypertension is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z87.3,Cardiovascular,Yes,7-14,6.626,3096,All ages,May lead to various complications if left untreated,2025-09-02
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,Children,May lead to various complications if left untreated,2025-05-16
Tension Headache,Tension Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X43.0,Endocrine,Yes,7-14,6.916,320,Elderly,May lead to various complications if left untreated,2025-04-16
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q62.6,Neurological,Partially,7-14,11.388,2839,Children,May lead to various complications if left untreated,2025-04-25
Multiple Sclerosis,Multiple Sclerosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W32.4,Infectious,Partially,Chronic,3.42,4916,Adults,May lead to various complications if left untreated,2025-07-27
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z48.7,Endocrine,Yes,3-7,4.38,1199,Children,May lead to various complications if left untreated,2024-12-25
Epilepsy,Epilepsy is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W14.2,Infectious,Yes,3-7,10.758,4683,All ages,May lead to various complications if left untreated,2024-09-12
Lactose Intolerance,Lactose Intolerance is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W42.0,Endocrine,No,14-30,6.525,970,All ages,May lead to various complications if left untreated,2025-05-14
Iron Deficiency,Iron Deficiency is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A55.9,Neurological,No,7-14,5.056,4088,Elderly,May lead to various complications if left untreated,2024-11-24
Hepatitis B,Hepatitis B is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y84.9,Cardiovascular,Yes,14-30,10.171,1460,Elderly,May lead to various complications if left untreated,2025-02-20
Skin Allergies,Skin Allergies is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R30.4,Endocrine,No,Chronic,9.004,74,Elderly,May lead to various complications if left untreated,2025-06-22
Prostate Cancer,Prostate Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D57.3,Respiratory,Partially,3-7,9.783,4797,Elderly,May lead to various complications if left untreated,2025-03-21
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B91.7,Respiratory,No,7-14,12.252,3048,All ages,May lead to various complications if left untreated,2025-09-03
Bronchitis,Bronchitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I89.6,Endocrine,Yes,7-14,13.959,4390,Children,May lead to various complications if left untreated,2025-04-06
Epilepsy,Epilepsy is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V38.7,Cardiovascular,Yes,Chronic,5.118,1158,All ages,May lead to various complications if left untreated,2025-02-03
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q11.2,Endocrine,No,Chronic,7.507,809,All ages,May lead to various complications if left untreated,2025-04-20
Food Poisoning,Food Poisoning is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B34.6,Neurological,No,3-7,3.536,1387,Adults,May lead to various complications if left untreated,2025-03-15
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X34.4,Respiratory,No,3-7,3.492,3055,All ages,May lead to various complications if left untreated,2024-11-27
Metabolic Syndrome,Metabolic Syndrome is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L99.1,Endocrine,Yes,3-7,4.907,1177,Elderly,May lead to various complications if left untreated,2025-06-23
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R64.3,Infectious,Yes,14-30,8.479,2781,All ages,May lead to various complications if left untreated,2024-09-29
Endometriosis,Endometriosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y12.5,Endocrine,No,3-7,10.197,780,Children,May lead to various complications if left untreated,2025-01-20
Food Poisoning,Food Poisoning is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P79.3,Cardiovascular,Yes,7-14,10.58,219,Children,May lead to various complications if left untreated,2025-01-05
Depression,Depression is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I44.0,Endocrine,Yes,14-30,8.176,2983,All ages,May lead to various complications if left untreated,2025-04-18
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G80.8,Infectious,Yes,14-30,9.219,1217,Children,May lead to various complications if left untreated,2025-02-06
Depression,Depression is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G10.8,Endocrine,No,Chronic,6.169,1829,Elderly,May lead to various complications if left untreated,2025-02-08
Tonsillitis,Tonsillitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V94.8,Cardiovascular,No,3-7,11.693,2039,Adults,May lead to various complications if left untreated,2025-04-02
Hearing Loss,Hearing Loss is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O76.1,Neurological,Yes,Chronic,8.616,109,Elderly,May lead to various complications if left untreated,2025-02-15
Hepatitis B,Hepatitis B is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A82.6,Infectious,No,7-14,3.136,3780,Elderly,May lead to various complications if left untreated,2025-01-03
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I58.9,Endocrine,Partially,14-30,0.317,1334,Elderly,May lead to various complications if left untreated,2025-03-03
Iron Deficiency,Iron Deficiency is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B61.7,Cardiovascular,Partially,3-7,3.072,3731,Elderly,May lead to various complications if left untreated,2025-02-13
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L66.6,Endocrine,No,14-30,5.16,2653,Children,May lead to various complications if left untreated,2025-07-02
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A93.2,Cardiovascular,Partially,7-14,1.674,4118,Children,May lead to various complications if left untreated,2024-09-15
Crohns Disease,Crohns Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G69.1,Infectious,Yes,3-7,11.526,4831,Adults,May lead to various complications if left untreated,2025-07-23
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O21.9,Neurological,Yes,14-30,13.837,3603,Elderly,May lead to various complications if left untreated,2025-01-14
Hepatitis A,Hepatitis A is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J20.2,Respiratory,Yes,3-7,3.766,3321,Elderly,May lead to various complications if left untreated,2025-06-01
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B77.6,Cardiovascular,Partially,Chronic,9.218,893,All ages,May lead to various complications if left untreated,2024-10-14
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O33.3,Infectious,Partially,3-7,2.576,65,All ages,May lead to various complications if left untreated,2025-02-28
Lactose Intolerance,Lactose Intolerance is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F49.6,Endocrine,Partially,14-30,5.085,1988,All ages,May lead to various complications if left untreated,2024-11-19
Asthma,Asthma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K38.6,Neurological,Partially,3-7,10.335,3840,Children,May lead to various complications if left untreated,2025-04-18
Tuberculosis,Tuberculosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D72.2,Endocrine,Yes,14-30,4.21,4445,Children,May lead to various complications if left untreated,2025-05-03
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,Children,May lead to various complications if left untreated,2025-06-13
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V56.3,Neurological,No,Chronic,8.45,3089,Elderly,May lead to various complications if left untreated,2024-10-05
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A33.1,Infectious,No,3-7,2.67,3061,All ages,May lead to various complications if left untreated,2025-02-23
PTSD,PTSD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A31.2,Endocrine,No,3-7,6.004,2088,Adults,May lead to various complications if left untreated,2025-03-15
